TimeStamp,Is_Participate,PosterScore,PhraseScore,ChooseHigh_Poster,ChooseLow_Poster,ChooseHigh_Phrases1,ChooseHigh_Phrases2,ChooseHigh_Phrases3,Age,Sex,ThrowOut,Awareness_Tra,Awareness_Env,Thoughts,Acton
8/21/2024 11:02:55,Yes,45,10,3,4,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,other,other,2,2,,
8/21/2024 11:04:20,Yes,68,93,4,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,female,Yes,4,2,,
8/21/2024 11:04:42,Yes,70,85,4,3,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,male,Yes,4,3,,
8/21/2024 11:05:42,Yes,8,8,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,20dai,female,Yes,3,2,,
8/21/2024 11:05:47,Yes,65,75,4,3,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,male,No,2,3,,
8/21/2024 11:05:58,Yes,75,85,2,1,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40dai,male,No,4,4,,
8/21/2024 11:06:48,Yes,75,83,2,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,No,3,3,紙は資源ゴミ,特になし
8/21/2024 11:06:54,Yes,5,8,2,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,5,4,,
8/21/2024 11:06:58,Yes,80,80,2,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,,
8/21/2024 11:07:11,Yes,80,80,3,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,,
8/21/2024 11:07:39,Yes,10,8,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,female,No,4,3,,
8/21/2024 11:07:39,Yes,90,24,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,2,2,,
8/21/2024 11:07:56,Yes,6,5,3,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,female,Yes,4,2,,
8/21/2024 11:08:01,Yes,50,100,3,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,,
8/21/2024 11:08:03,Yes,86,100,1,4,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,,
8/21/2024 11:08:34,Yes,60,20,1,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,20dai,female,Yes,2,3,分別しようと思った,出来る範囲で分別している
8/21/2024 11:08:37,Yes,85,40,2,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,female,Yes,5,3,,
