TimeStamp,Is_Participate,PosterScore,PhraseScore,ChooseHigh_Poster,ChooseLow_Poster,ChooseHigh_Phrases1,ChooseHigh_Phrases2,ChooseHigh_Phrases3,Age,Sex,ThrowOut,Awareness_Tra,Awareness_Env,Thoughts,Acton,SuveyType,PraseType,,
8/21/2024 11:03:55,Yes,30,15,3,4,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,4,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:04:10,Yes,30,60,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:04:33,Yes,40,40,3,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30dai,male,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:04:51,Yes,86,71,1,2,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,male,No,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:05:34,Yes,22,6,2,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:05:55,Yes,5,6,1,3,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,20dai,male,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:06:03,Yes,9,5,3,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,1,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:06:20,Yes,5,6,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,特にない,特にない,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:07:06,Yes,60,40,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,other,Yes,3,2,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:07:21,Yes,33,1,2,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30dai,female,Yes,4,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:07:29,Yes,95,87,3,4,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,female,Yes,5,5,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:07:35,Yes,80,10,2,3,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,male,Yes,5,1,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:07:48,Yes,70,90,3,2,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,female,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:07:55,Yes,40,50,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:08:05,Yes,71,72,2,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,60dai,male,Yes,4,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:08:30,Yes,40,70,2,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30dai,female,Yes,4,4,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:09:00,Yes,30,8,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,female,Yes,5,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:09:03,Yes,6,80,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,female,Yes,3,4,分別してない人がいると感じた。,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:09:24,Yes,5,6,1,3,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,male,Yes,3,1,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:09:25,Yes,5,5,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,female,No,3,2,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:09:29,Yes,100,100,3,4,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,5,5,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:09:48,Yes,30,40,2,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,2,2,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:09:50,Yes,30,1,4,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,female,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:10:01,Yes,75,45,1,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,male,Yes,4,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:10:39,Yes,5,50,4,3,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30dai,female,No,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:10:39,Yes,60,80,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,male,Yes,4,2,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:11:02,Yes,60,67,4,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,female,No,2,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:11:07,Yes,99,40,1,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,male,Yes,5,5,しっかり捨てる,特にない,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:11:42,Yes,50,50,2,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,20dai,male,No,1,1,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:12:09,Yes,100,100,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60dai,female,Yes,4,4,環境保護のためにも分別は大切,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:12:37,Yes,51,51,3,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,30dai,male,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:13:20,Yes,80,80,2,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30dai,female,Yes,4,3,,,a1,紙は燃えるごみに分別しないでください。,,
8/21/2024 11:13:39,Yes,5,5,1,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,60dai,male,Yes,3,3,,,a1,紙は燃えるごみに分別しないでください。,,
