TimeStamp,Is_Participate,PosterScore,ChooseHigh_Poster,ChooseLow_Poster,ChooseHigh_Phrases1,ChooseHigh_Phrases2,ChooseHigh_Phrases3,Age,Sex,ThrowOut,Awareness_Tra,Awareness_Env,Thoughts,Acton
9/29/2024 14:02:10,Yes,9,4,2,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,20dai,male,Yes,4,4,,
9/29/2024 14:02:16,Yes,88,1,4,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40dai,female,Yes,3,3,,
9/29/2024 14:02:20,Yes,80,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,60dai,male,No,4,4,,
9/29/2024 14:02:20,Yes,72,2,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,4,4,,
9/29/2024 14:02:22,Yes,3,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,,
9/29/2024 14:02:24,Yes,70,3,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,20dai,female,Yes,3,3,,
9/29/2024 14:02:29,Yes,70,1,3,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,50dai,female,Yes,4,4,,
9/29/2024 14:02:53,Yes,3,2,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,2,,
9/29/2024 14:02:55,Yes,4,4,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,Yes,3,3,,
9/29/2024 14:02:57,Yes,80,2,1,多くの資源ごみが燃やすごみとして分別されています。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,male,Yes,4,4,,
9/29/2024 14:03:03,Yes,80,2,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,male,No,3,3,,
9/29/2024 14:03:05,Yes,6,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,5,4,,
9/29/2024 14:03:07,Yes,6,4,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,female,Yes,4,3,,
9/29/2024 14:03:11,Yes,70,4,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60dai,male,Yes,4,3,特に感想はない,特にない
9/29/2024 14:03:11,Yes,84,2,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,female,Yes,4,4,,
9/29/2024 14:03:17,Yes,70,2,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30dai,male,Yes,3,3,,
9/29/2024 14:03:18,Yes,70,3,4,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,male,Yes,3,3,,
9/29/2024 14:03:22,Yes,75,1,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,60dai,female,No,3,3,分別は大事,とくにありません
9/29/2024 14:03:22,Yes,6,2,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,4,ごみ分別のキャッチコピーは簡潔が一番だと思った,資源になるということを少しでも認識できればごみ分別もやろうと思ってくると期待してる
9/29/2024 14:03:25,Yes,53,1,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,60dai,female,Yes,4,4,,出来る事からする
9/29/2024 14:03:26,Yes,10,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,male,No,3,1,,
9/29/2024 14:03:42,Yes,70,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,female,Yes,4,4,,
9/29/2024 14:03:42,Yes,5,2,4,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,70dai,male,Yes,4,4,,分別は生活習慣となっている。
9/29/2024 14:03:44,Yes,95,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,female,Yes,5,5,,
9/29/2024 14:03:45,Yes,3,3,4,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,male,No,4,4,,
9/29/2024 14:03:46,Yes,65,3,4,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,male,Yes,4,4,,
9/29/2024 14:03:48,Yes,50,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,3,3,,
9/29/2024 14:03:49,Yes,4,2,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40dai,male,Yes,3,3,,
9/29/2024 14:03:50,Yes,75,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30dai,male,Yes,4,2,,
9/29/2024 14:03:51,Yes,47,2,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50dai,male,Yes,3,2,,
9/29/2024 14:03:56,Yes,60,3,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,50dai,male,Yes,4,4,ごみの分別は大切と思った,
