TimeStamp,Is_Participate,PosterScore,PhraseScore,ChooseHigh_Poster,ChooseLow_Poster,ChooseHigh_Phrases1,ChooseHigh_Phrases2,ChooseHigh_Phrases3,Age,Sex,ThrowOut,Awareness_Tra,Awareness_Env,Thoughts,Acton
8/21/2024 11:03:55,1,30,15,3,4,2,0,1,3,0,0,4,3,,
8/21/2024 11:04:10,1,30,60,3,1,0,0,0,3,0,0,4,4,,
8/21/2024 11:04:33,1,40,40,3,1,1,1,0,2,0,0,3,3,,
8/21/2024 11:04:51,1,86,71,1,2,2,1,0,3,0,1,3,3,,
8/21/2024 11:05:34,1,22,6,2,1,1,1,1,3,0,0,3,3,,
8/21/2024 11:05:48,1,10,11,4,4,0,0,0,0,0,0,5,5,,
8/21/2024 11:05:55,1,5,6,1,3,1,0,1,1,0,0,4,4,,
8/21/2024 11:06:03,1,9,5,3,2,0,0,1,3,0,0,1,4,,
8/21/2024 11:06:20,1,5,6,2,1,0,0,0,4,1,0,4,3,特にない,特にない
8/21/2024 11:06:59,1,5,5,3,3,0,0,0,4,1,0,4,3,ゴミと資源を詳しく説明してほしい,資源は資源として利用されてほしい
8/21/2024 11:07:06,1,60,40,3,1,0,0,0,4,2,0,3,2,,
8/21/2024 11:07:21,1,33,1,2,1,3,1,0,2,1,0,4,3,,
8/21/2024 11:07:29,1,95,87,3,4,3,1,0,4,1,0,5,5,,
8/21/2024 11:07:35,1,80,10,2,3,1,1,0,3,0,0,5,1,,
8/21/2024 11:07:48,1,70,90,3,2,3,1,0,3,1,0,3,3,,
8/21/2024 11:07:55,1,40,50,3,1,0,0,0,4,1,0,4,4,,
8/21/2024 11:08:05,1,71,72,2,1,3,1,1,5,0,0,4,3,,
8/21/2024 11:08:30,1,40,70,2,4,1,1,0,2,1,0,4,4,,
8/21/2024 11:09:00,1,30,8,3,1,3,1,0,3,1,0,5,3,,
8/21/2024 11:09:03,1,6,80,3,1,0,0,1,4,1,0,3,4,分別してない人がいると感じた。,
8/21/2024 11:09:24,1,5,6,1,3,1,0,0,2,0,0,3,1,,
8/21/2024 11:09:25,1,5,5,3,1,0,0,1,4,1,1,3,2,,
8/21/2024 11:09:29,1,100,100,3,4,3,1,1,3,0,0,5,5,,
8/21/2024 11:09:48,1,30,40,2,1,3,0,0,4,0,0,2,2,,
8/21/2024 11:09:50,1,30,1,4,1,2,0,1,4,1,0,3,3,,
8/21/2024 11:10:01,1,75,45,1,4,1,1,0,4,0,0,4,3,,
8/21/2024 11:10:09,1,7,7,2,2,0,0,0,3,1,0,4,4,,
8/21/2024 11:10:39,1,5,50,4,3,2,1,0,2,1,1,3,3,,
8/21/2024 11:10:39,1,60,80,3,1,3,1,0,5,0,0,4,2,,
8/21/2024 11:11:02,1,60,67,4,3,0,0,0,3,1,1,2,3,,
8/21/2024 11:11:03,1,7,7,2,2,0,0,0,3,1,0,4,4,,
8/21/2024 11:11:07,1,99,40,1,4,0,0,0,2,0,0,5,5,しっかり捨てる,特にない
8/21/2024 11:11:42,1,50,50,2,4,3,0,0,1,0,1,1,1,,
8/21/2024 11:12:09,1,100,100,2,3,0,0,0,5,1,0,4,4,環境保護のためにも分別は大切,
8/21/2024 11:12:37,1,51,51,3,1,1,0,1,2,0,0,3,3,,
8/21/2024 11:12:55,1,100,100,2,2,0,0,0,5,0,1,5,5,,
8/21/2024 11:13:20,1,80,80,2,4,1,1,0,2,1,0,4,3,,
8/21/2024 11:13:39,1,5,5,1,4,1,1,1,5,0,0,3,3,,
8/21/2024 11:13:42,1,6,8,3,1,3,1,0,5,1,1,4,4,,
8/21/2024 11:14:13,1,5,10,2,2,3,0,0,3,0,0,5,4,環境,環境
8/21/2024 11:14:34,1,50,60,3,4,1,0,0,4,0,0,5,5,,
8/21/2024 11:14:54,1,65,95,3,4,3,0,0,4,0,0,4,4,,分別はキチンとする
8/21/2024 11:15:45,1,85,1,1,4,2,1,1,0,0,0,5,1,ちょっと意味がわからない,
8/21/2024 11:15:51,1,40,60,3,1,1,0,1,2,0,0,3,2,,ペットボトルのラベルを剥がしている
8/21/2024 11:15:54,1,47,15,4,2,3,1,0,3,0,0,3,3,,
8/21/2024 11:15:57,1,82,57,4,4,0,0,0,4,0,0,4,4,,
8/21/2024 11:16:05,1,20,20,3,1,3,1,1,2,2,2,1,1,,
8/21/2024 11:16:11,1,5,10,2,1,3,1,0,5,1,1,4,4,,
8/21/2024 11:16:21,1,45,30,2,3,0,0,0,2,0,0,4,3,,リサイクルできるものは近隣のスーパーで回収してもらう。
8/21/2024 11:16:32,1,46,30,4,3,0,0,1,2,0,0,3,3,,
8/21/2024 11:16:33,1,6,8,3,4,1,1,0,2,1,0,3,3,,
8/21/2024 11:16:34,1,10,100,3,4,0,0,1,4,1,1,4,3,,
8/21/2024 11:16:42,1,8,8,3,4,3,0,0,4,0,1,3,4,資源ごみの理解度が必要と感じました。,ゴミの分別は意識しています。
8/21/2024 11:16:59,1,50,56,3,1,3,1,1,2,0,0,3,3,,
8/21/2024 11:17:29,1,5,5,1,1,0,0,0,4,0,1,4,3,,
8/21/2024 11:17:46,1,4,2,3,1,0,0,0,4,0,0,4,4,,
8/21/2024 11:17:50,1,70,60,2,3,1,1,0,4,1,1,3,3,文章は難しい,
8/21/2024 11:18:55,1,1,9,1,1,0,0,0,5,0,0,4,3,もう少し質問の文章を考えないと正しいデータが集まりませんよ。,水を守るため洗いきれない資源ゴミは無理して洗わず燃えるごゴミに出しています。
8/21/2024 11:19:16,1,6,30,2,2,0,0,0,5,0,0,4,4,,
8/21/2024 11:19:30,1,20,100,2,3,0,0,0,4,0,0,5,3,,
