TimeStamp,Is_Participate,PosterScore,PhraseScore,ChooseHigh_Poster,ChooseLow_Poster,ChooseHigh_Phrases1,ChooseHigh_Phrases2,ChooseHigh_Phrases3,Age,Sex,あなたは家のゴミを自分で捨てますか？,あなた自身はごみの分別に対する意識が高いと思いますか？（１：非常にそう思わない～５：非常にそう思う）,あなた自身は環境に対する意識が高いと思いますか？（１：非常にそう思わない～５：非常にそう思う）,このアンケートで感じたことを教えてください。（任意）,普段の生活でゴミの分別や環境に対して特に意識していることがあればご記入ください。（任意）
8/21/2024 11:03:55,協力します。,30,15,3,4,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40代,男性,はい,4,3,,
8/21/2024 11:04:10,協力します。,30,60,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40代,男性,はい,4,4,,
8/21/2024 11:04:33,協力します。,40,40,3,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30代,男性,はい,3,3,,
8/21/2024 11:04:51,協力します。,86,71,1,2,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40代,男性,いいえ（同居人が捨てる）,3,3,,
8/21/2024 11:05:34,協力します。,22,6,2,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40代,男性,はい,3,3,,
8/21/2024 11:05:48,協力します。,10,11,4,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,10代,男性,はい,5,5,,
8/21/2024 11:05:55,協力します。,5,6,1,3,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,20代,男性,はい,4,4,,
8/21/2024 11:06:03,協力します。,9,5,3,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40代,男性,はい,1,4,,
8/21/2024 11:06:20,協力します。,5,6,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,女性,はい,4,3,特にない,特にない
8/21/2024 11:06:59,協力します。,5,5,3,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,女性,はい,4,3,ゴミと資源を詳しく説明してほしい,資源は資源として利用されてほしい
8/21/2024 11:07:06,協力します。,60,40,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,回答したくない,はい,3,2,,
8/21/2024 11:07:21,協力します。,33,1,2,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30代,女性,はい,4,3,,
8/21/2024 11:07:29,協力します。,95,87,3,4,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50代,女性,はい,5,5,,
8/21/2024 11:07:35,協力します。,80,10,2,3,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40代,男性,はい,5,1,,
8/21/2024 11:07:48,協力します。,70,90,3,2,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40代,女性,はい,3,3,,
8/21/2024 11:07:55,協力します。,40,50,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,女性,はい,4,4,,
8/21/2024 11:08:05,協力します。,71,72,2,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,60代,男性,はい,4,3,,
8/21/2024 11:08:30,協力します。,40,70,2,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,30代,女性,はい,4,4,,
8/21/2024 11:09:00,協力します。,30,8,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40代,女性,はい,5,3,,
8/21/2024 11:09:03,協力します。,6,80,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50代,女性,はい,3,4,分別してない人がいると感じた。,
8/21/2024 11:09:24,協力します。,5,6,1,3,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30代,男性,はい,3,1,,
8/21/2024 11:09:25,協力します。,5,5,3,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,50代,女性,いいえ（同居人が捨てる）,3,2,,
8/21/2024 11:09:29,協力します。,100,100,3,4,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,40代,男性,はい,5,5,,
8/21/2024 11:09:48,協力します。,30,40,2,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50代,男性,はい,2,2,,
